Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Office,4,87,58200,1,1261422.2,1798578.8,0,0,52.6,93.1,55.8,95.8,275.7,4.7
Hospital (General Medical & Surgical),2.5,56,450612,1,23712134.1,44202524.7,0,0,284.1,471.9,290.8,473.5,5734.5,24
Multifamily Housing,4,82,407921,1,7095605.4,14925477.7,0,0,73.8,119,78.3,123.8,1806.2,6
Multifamily Housing,4,91,47039,1,1547175.2,80334.7,0,0,34.6,93.9,33.8,91.3,225.2,4.8
K-12 School,1.5,33,415577,2,19594396.1,8824600.4,0,0,68.4,154.3,72.5,161,3267.3,7.9
Multifamily Housing,3.5,51,72332,1,676207.2,6874633.9,0,0,104.4,126,112.2,133.6,461.7,6.4
Multifamily Housing,4,94,96000,1,344536.9,4745400.4,0,0,53,62,58.8,67.8,301.3,3.1
K-12 School,3,65,305788,1,5926012.8,16418689.8,0,0,73.1,110.6,80.5,117.5,1718.5,5.6
Multifamily Housing,3,70,104796,1,2870150.5,2048614.3,0,0,56.4,116.8,58.8,119.4,518.7,5.9
Multifamily Housing,2.5,60,63514,1,692864.6,4563750.8,0,0,82.8,106,88.9,111.5,341.4,5.4
K-12 School,3,69,435758,1,5133442.7,14341300.3,0,0,70.5,106.5,75.9,112.2,1494.9,5.4
K-12 School,4,81,185411,2,2540682.3,8987259.8,0,0,62.2,89.3,68.5,95.9,840.2,4.5
K-12 School,4,74,486336,2,5182933.8,9641852,0,0,61.3,101.8,66.7,107.5,1252.4,5.2
K-12 School,4,82,269480,2,5779975.8,7223420.1,0,0,48.3,88.2,51.4,91.5,1209.2,4.5
